descent,adam,lr,epoch,batch_size,precision,recall,f1_score,time_sec
mini-batch,True,0.01,500,64.0,0.6655052264808362,0.2909367859862909,0.40487546369899313,22.14
mini-batch,False,0.1,1000,64.0,0.6636528028933092,0.2795125666412795,0.3933547695605573,36.5
batch,True,0.001,1000,,0.3534370946822309,0.4150799695354151,0.38178633975481613,5.54
mini-batch,True,0.1,1000,64.0,0.5567010309278351,0.2878903274942879,0.3795180722891566,42.71
mini-batch,False,0.1,500,64.0,0.6827309236947792,0.25894897182025894,0.3754831584759801,17.77
stochastic,True,0.001,500,,0.678,0.25818735719725816,0.3739658025372311,648.82
mini-batch,True,0.01,1000,64.0,0.6761133603238867,0.25437928408225435,0.36967349197565025,43.26
stochastic,False,0.001,500,,0.689727463312369,0.25057121096725055,0.3675977653631285,296.78
stochastic,True,0.01,500,,0.6353383458646616,0.25742574257425743,0.3663956639566396,646.3
batch,False,0.01,500,,0.3274390243902439,0.408987052551409,0.3636979343040975,1.59
batch,False,0.01,250,,0.2742382271468144,0.5277989337395278,0.3609375,0.78
stochastic,False,0.01,500,,0.6632653061224489,0.24752475247524752,0.36051026067665004,291.59
batch,True,0.001,500,,0.2679762787249815,0.5506473724295506,0.3605086013462977,1.67
batch,True,0.001,250,,0.25506593760051466,0.6039603960396039,0.35866123925825416,0.8
batch,True,0.01,250,,0.639921722113503,0.24904798172124903,0.35855263157894735,0.81
batch,False,0.001,250,,0.24396336386344714,0.6694592536176694,0.35760781122864116,0.81
mini-batch,False,0.01,1000,64.0,0.6891304347826087,0.24143183549124142,0.3575860124083474,34.92
mini-batch,False,0.01,500,64.0,0.6969026548672567,0.2399086062452399,0.35694050991501414,17.03
batch,False,0.001,500,,0.2452504317789292,0.6488956587966489,0.35596406935450176,1.6
batch,False,0.001,1000,,0.25047140163419235,0.607006854531607,0.3546162402669633,3.74
mini-batch,True,0.001,100,64.0,0.6948775055679287,0.2376237623762376,0.35414301929625425,4.07
mini-batch,True,0.001,1000,64.0,0.6917960088691796,0.2376237623762376,0.35374149659863946,43.21
batch,False,0.01,1000,,0.413265306122449,0.30845392231530844,0.3532490187527257,3.11
mini-batch,False,0.001,1000,64.0,0.6926503340757239,0.23686214775323686,0.3530079455164586,34.07
mini-batch,False,0.001,500,64.0,0.695067264573991,0.2361005331302361,0.35247299602046617,17.08
mini-batch,True,0.001,500,64.0,0.6990950226244343,0.23533891850723535,0.35213675213675216,22.77
batch,True,0.1,500,,0.6919642857142857,0.2361005331302361,0.3520726859738785,1.57
batch,True,0.1,1000,,0.6919642857142857,0.2361005331302361,0.3520726859738785,5.37
batch,True,0.1,250,,0.6912751677852349,0.23533891850723535,0.35113636363636364,0.74
batch,False,0.1,250,,0.5919854280510018,0.24752475247524752,0.34908700322234154,0.79
stochastic,False,0.001,300,,0.6963470319634704,0.2322924600152323,0.34837235865219873,177.8
batch,True,0.01,500,,0.6822222222222222,0.2338156892612338,0.3482699943278503,1.61
stochastic,True,0.001,300,,0.6860986547085202,0.23305407463823305,0.3479249573621376,388.69
batch,True,0.01,1000,,0.6940639269406392,0.23153084539223154,0.3472301541976014,5.62
batch,False,0.1,1000,,0.6887871853546911,0.22924600152322924,0.344,3.02
mini-batch,False,0.001,100,64.0,0.6887871853546911,0.22924600152322924,0.344,3.26
stochastic,False,0.01,300,,0.658008658008658,0.23153084539223154,0.3425352112676056,175.75
mini-batch,False,0.01,100,64.0,0.7016706443914081,0.22391469916222392,0.3394919168591224,3.45
batch,False,0.1,500,,0.6600441501103753,0.22772277227722773,0.33861834654586637,1.52
stochastic,True,0.01,300,,0.6126126126126126,0.20715917745620716,0.30961866818440525,391.13
mini-batch,True,0.01,100,64.0,0.7100591715976331,0.1827875095201828,0.290732889158086,5.25
mini-batch,True,0.1,500,64.0,0.6697674418604651,0.10967250571210967,0.18848167539267016,20.92
mini-batch,True,0.1,100,64.0,0.47547169811320755,0.09596344249809596,0.1596958174904943,4.09
mini-batch,False,0.1,100,64.0,0.6256684491978609,0.0891089108910891,0.156,3.85
