optimizer,learning_rate,epochs,precision,recall,f1_score,accuracy,training_time_sec
RMSProp,0.001,1000,0.44214487300094074,0.357958872810358,0.3956228956228956,0.7606666666666667,5.13
RMSProp,0.01,100,0.4355885078776645,0.357958872810358,0.39297658862876256,0.758,0.31
Adam,0.01,100,0.36498316498316496,0.4127951256664128,0.3874195854181558,0.7143333333333334,0.28
Adam,0.001,1000,0.3534370946822309,0.4150799695354151,0.38178633975481613,0.7058333333333333,2.88
Momentum,0.01,500,0.32806804374240583,0.4112718964204113,0.3649881716796215,0.6868333333333333,3.23
RMSProp,0.001,500,0.27586206896551724,0.5361766945925361,0.36429495472186285,0.5905,6.03
Vanilla,0.01,500,0.3274390243902439,0.408987052551409,0.3636979343040975,0.6868333333333333,1.39
Adam,0.001,500,0.2679762787249815,0.5506473724295506,0.3605086013462977,0.5725,2.67
Adam,0.001,100,0.2454832234012045,0.6519421172886519,0.3566666666666667,0.48533333333333334,0.28
RMSProp,0.001,100,0.2462253193960511,0.6458492003046459,0.35652722303973094,0.48983333333333334,0.32
Vanilla,0.001,100,0.2419047619047619,0.6770753998476771,0.3564554931836407,0.465,0.28
Momentum,0.001,100,0.24183895538628944,0.6770753998476771,0.3563840448987773,0.4648333333333333,0.28
Vanilla,0.001,500,0.2452504317789292,0.6488956587966489,0.35596406935450176,0.4861666666666667,1.43
Momentum,0.001,500,0.24511494252873564,0.6496572734196496,0.3559357396202796,0.4855,6.12
Vanilla,0.01,100,0.25055014146494814,0.607006854531607,0.35469514908767247,0.5166666666666667,0.28
Vanilla,0.001,1000,0.25047140163419235,0.607006854531607,0.3546162402669633,0.5165,6.83
Momentum,0.001,1000,0.2497646689676812,0.6062452399086062,0.3537777777777778,0.5153333333333333,5.78
Momentum,0.01,100,0.2489137181874612,0.6108149276466108,0.35369349503858877,0.5115,0.3
Vanilla,0.1,100,0.4136874361593463,0.30845392231530844,0.35340314136125656,0.753,0.89
Vanilla,0.01,1000,0.413265306122449,0.30845392231530844,0.3532490187527257,0.7528333333333334,2.77
Momentum,0.01,1000,0.4124236252545825,0.30845392231530844,0.35294117647058826,0.7525,2.76
Adam,0.1,1000,0.6919642857142857,0.2361005331302361,0.3520726859738785,0.8098333333333333,2.8
Adam,0.1,500,0.6919642857142857,0.2361005331302361,0.3520726859738785,0.8098333333333333,4.35
Adam,0.01,500,0.6822222222222222,0.2338156892612338,0.3482699943278503,0.8085,1.42
Adam,0.1,100,0.6947608200455581,0.2322924600152323,0.3481735159817352,0.8096666666666666,0.29
Adam,0.01,1000,0.6940639269406392,0.23153084539223154,0.3472301541976014,0.8095,5.74
RMSProp,0.01,1000,0.7,0.22924600152322924,0.3453815261044177,0.8098333333333333,4.87
Vanilla,0.1,1000,0.6887871853546911,0.22924600152322924,0.344,0.8086666666666666,5.05
Momentum,0.1,1000,0.6887871853546911,0.22924600152322924,0.344,0.8086666666666666,5.07
RMSProp,0.01,500,0.7002341920374707,0.22772277227722773,0.34367816091954023,0.8096666666666666,1.87
Momentum,0.1,500,0.6637362637362637,0.23000761614623,0.3416289592760181,0.806,1.38
Momentum,0.1,100,0.4035827186512118,0.2916984006092917,0.33863837312113176,0.7506666666666667,0.64
Vanilla,0.1,500,0.6600441501103753,0.22772277227722773,0.33861834654586637,0.8053333333333333,1.43
RMSProp,0.1,100,0.6544117647058824,0.13556740289413557,0.2246056782334385,0.7951666666666667,0.4
RMSProp,0.1,1000,0.65,0.06930693069306931,0.12525808671713695,0.7881666666666667,2.69
RMSProp,0.1,500,0.6384615384615384,0.06321401370906321,0.11503811503811504,0.7871666666666667,5.2
